source,pt_PT
Role Allowed to Override Stop Action,Função com permissão para substituir ação de parada
Role allowed to bypass Credit Limit,Função com permissão para ignorar o limite de crédito
Role allowed to bypass period restrictions.,Função com permissão para ignorar restrições de período.
Role to Notify on Depreciation Failure,Função a ser notificada sobre falha de depreciação
Roles Allowed to Set and Edit Frozen Account Entries,Funções permitidas para definir e editar entradas de contas congeladas
Root,Raiz
Root Type,Tipo de raiz
"Root Type for {0} must be one of the Asset, Liability, Income, Expense and Equity","O tipo raiz para {0} deve ser Ativo, Passivo, Receita, Despesa e Patrimônio"
Root Type is mandatory,O tipo de raiz é obrigatório
Root cannot be edited.,A raiz não pode ser editada.
Root cannot have a parent cost center,Root não pode ter centro de custo pai
Round Free Qty,Quantidade redonda grátis
Round Off Account,Arredondar conta
Round Off Cost Center,Centro de custo arredondado
Round Off Tax Amount,Arredondar o valor do imposto
Round Off for Opening,Finalização para abertura
Round Tax Amount Row-wise,Valor redondo do imposto por linha
Rounded Total (Company Currency),Total arredondado (moeda da empresa)
Rounding Adjustment,Ajuste de arredondamento
Rounding Adjustment (Company Currency,Ajuste de arredondamento (moeda da empresa
Rounding Adjustment (Company Currency),Ajuste de arredondamento (moeda da empresa)
Rounding Loss Allowance,Arredondamento da provisão para perdas
Rounding Loss Allowance should be between 0 and 1,A provisão para perdas de arredondamento deve estar entre 0 e 1
Rounding gain/loss Entry for Stock Transfer,Arredondamento de entrada de ganho/perda para transferência de estoque
Route,Rota
Routing Name,Nome do roteamento
Row #,Linha #
Row # {0}: Cannot return more than {1} for Item {2},Linha nº {0}: não é possível retornar mais de {1} para o item {2}
Row # {0}: Please add Serial and Batch Bundle for Item {1},Linha # {0}: Adicione pacote de série e lote para o item {1}
Row # {0}: Please enter quantity for Item {1} as it is not zero.,"Linha # {0}: Insira a quantidade para o item {1}, pois não é zero."
Row # {0}: Returned Item {1} does not exist in {2} {3},Linha # {0}: O item retornado {1} não existe em {2} {3}
Row #1: Sequence ID must be 1 for Operation {0}.,Linha nº 1: O ID de sequência deve ser 1 para a Operação {0}.
Row #{0} (Payment Table): Amount must be negative,Linha #{0} (Tabela de Pagamento): O valor deve ser negativo
Row #{0} (Payment Table): Amount must be positive,Linha #{0} (Tabela de Pagamento): O valor deve ser positivo
Row #{0}:,Linha nº{0}:
Row #{0}: A reorder entry already exists for warehouse {1} with reorder type {2}.,Linha #{0}: Já existe uma entrada de novo pedido para o armazém {1} com tipo de novo pedido {2}.
Row #{0}: Acceptance Criteria Formula is incorrect.,Linha #{0}: A fórmula dos critérios de aceitação está incorreta.
Row #{0}: Acceptance Criteria Formula is required.,Linha #{0}: A fórmula dos critérios de aceitação é obrigatória.
Row #{0}: Accepted Warehouse and Rejected Warehouse cannot be same,Linha #{0}: Armazém Aceito e Armazém Rejeitado não podem ser iguais
Row #{0}: Accepted Warehouse is mandatory for the accepted Item {1},Linha #{0}: O Armazém Aceito é obrigatório para o Item aceito {1}
Row #{0}: Account {1} does not belong to company {2},Linha #{0}: a conta {1} não pertence à empresa {2}
Row #{0}: Allocated Amount cannot be greater than Outstanding Amount of Payment Request {1},Linha #{0}: O valor alocado não pode ser maior que o valor pendente da solicitação de pagamento {1}
Row #{0}: Allocated Amount cannot be greater than outstanding amount.,Linha #{0}: O valor alocado não pode ser maior que o valor pendente.
Row #{0}: Allocated amount:{1} is greater than outstanding amount:{2} for Payment Term {3},Linha #{0}: O valor alocado:{1} é maior que o valor pendente:{2} para o Prazo de Pagamento {3}
Row #{0}: Amount must be a positive number,Linha #{0}: o valor deve ser um número positivo
"Row #{0}: Asset {1} cannot be sold, it is already {2}","Linha #{0}: O ativo {1} não pode ser vendido, já é {2}"
Row #{0}: Asset {1} is already sold,Linha #{0}: o ativo {1} já foi vendido
Row #{0}: BOM is not specified for subcontracting item {0},Linha #{0}: a BOM não está especificada para o item de subcontratação {0}
Row #{0}: BOM not found for FG Item {1},Linha #{0}: BOM não encontrada para item FG {1}
Row #{0}: Batch No {1} is already selected.,Linha #{0}: O lote nº {1} já está selecionado.
Row #{0}: Batch No(s) {1} is not a part of the linked Subcontracting Inward Order. Please select valid Batch No(s).,Linha #{0}: Número(s) de lote {1} não faz parte da ordem de entrada de subcontratação vinculada. Selecione números de lote válidos.
Row #{0}: Cannot allocate more than {1} against payment term {2},Linha #{0}: Não é possível alocar mais de {1} em relação ao prazo de pagamento {2}
Row #{0}: Cannot cancel this Manufacturing Stock Entry as billed quantity of Item {1} cannot be greater than consumed quantity.,"Linha #{0}: Não é possível cancelar esta entrada de estoque de fabricação, pois a quantidade faturada do item {1} não pode ser maior que a quantidade consumida."
Row #{0}: Cannot cancel this Manufacturing Stock Entry as quantity of Secondary Item {1} produced cannot be less than quantity delivered.,"Linha #{0}: Não é possível cancelar esta Entrada de Estoque de Fabricação, pois a quantidade do Item Secundário {1} produzido não pode ser inferior à quantidade entregue."
Row #{0}: Cannot cancel this Stock Entry as returned quantity cannot be greater than delivered quantity for Item {1} in the linked Subcontracting Inward Order,Linha #{0}: Não é possível cancelar esta entrada de estoque porque a quantidade devolvida não pode ser maior que a quantidade entregue para o item {1} no pedido de entrada de subcontratação vinculado
Row #{0}: Cannot create entry with different taxable AND withholding document links.,Linha #{0}: Não é possível criar entrada com diferentes links de documentos tributáveis ​​E retidos na fonte.
Row #{0}: Cannot delete item {1} which has already been billed.,Linha #{0}: Não é possível excluir o item {1} que já foi faturado.
Row #{0}: Cannot delete item {1} which has already been delivered,Linha #{0}: Não é possível excluir o item {1} que já foi entregue
Row #{0}: Cannot delete item {1} which has already been received,Linha #{0}: Não é possível excluir o item {1} que já foi recebido
Row #{0}: Cannot delete item {1} which has work order assigned to it.,Linha #{0}: Não é possível excluir o item {1} que possui uma ordem de serviço atribuída a ele.
Row #{0}: Cannot delete item {1} which is already ordered against this Sales Order.,Linha #{0}: Não é possível excluir o item {1} que já foi pedido nesta Ordem de vendas.
Row #{0}: Cannot set Rate if the billed amount is greater than the amount for Item {1}.,Linha #{0}: Não é possível definir a Taxa se o valor faturado for maior que o valor do Item {1}.
Row #{0}: Cannot transfer more than Required Qty {1} for Item {2} against Job Card {3},Linha #{0}: Não é possível transferir mais do que a Quantidade Necessária {1} para o Item {2} em relação ao Cartão de Trabalho {3}
Row #{0}: Child Item should not be a Product Bundle. Please remove Item {1} and Save,Linha #{0}: o item filho não deve ser um pacote de produtos. Remova o item {1} e salve
Row #{0}: Consumed Asset {1} cannot be Draft,Linha nº{0}: o recurso consumido {1} não pode ser rascunho
Row #{0}: Consumed Asset {1} cannot be cancelled,Linha #{0}: O recurso consumido {1} não pode ser cancelado
Row #{0}: Consumed Asset {1} cannot be the same as the Target Asset,Linha #{0}: o ativo consumido {1} não pode ser igual ao ativo alvo
Row #{0}: Consumed Asset {1} cannot be {2},Linha nº{0}: o recurso consumido {1} não pode ser {2}
Row #{0}: Consumed Asset {1} does not belong to company {2},Linha #{0}: O ativo consumido {1} não pertence à empresa {2}
Row #{0}: Cost Center {1} does not belong to company {2},Linha #{0}: Centro de custo {1} não pertence à empresa {2}
Row #{0}: Could not find enough {1} entries to match. Remaining amount: {2},Linha #{0}: Não foi possível encontrar entradas {1} suficientes para corresponder. Valor restante: {2}
Row #{0}: Cumulative threshold cannot be less than Single Transaction threshold,Linha #{0}: o limite cumulativo não pode ser inferior ao limite de transação única
Row #{0}: Customer Provided Item {1} against Subcontracting Inward Order Item {2} ({3}) cannot be added multiple times.,Linha #{0}: O Item Fornecido pelo Cliente {1} contra o Item de Pedido Interno de Subcontratação {2} ({3}) não pode ser adicionado diversas vezes.
Row #{0}: Customer Provided Item {1} cannot be added multiple times in the Subcontracting Inward process.,Linha #{0}: O item fornecido pelo cliente {1} não pode ser adicionado diversas vezes no processo de subcontratação interna.
Row #{0}: Customer Provided Item {1} cannot be added multiple times.,Linha #{0}: O item {1} fornecido pelo cliente não pode ser adicionado diversas vezes.
Row #{0}: Customer Provided Item {1} does not exist in the Required Items table linked to the Subcontracting Inward Order.,Linha #{0}: O Item Fornecido pelo Cliente {1} não existe na tabela Itens Necessários vinculada ao Pedido de Entrada de Subcontratação.
Row #{0}: Customer Provided Item {1} exceeds quantity available through Subcontracting Inward Order,Linha #{0}: O item fornecido pelo cliente {1} excede a quantidade disponível por meio de pedido de entrada de subcontratação
Row #{0}: Customer Provided Item {1} has insufficient quantity in the Subcontracting Inward Order. Available quantity is {2}.,Linha #{0}: O item {1} fornecido pelo cliente tem quantidade insuficiente no pedido de entrada de subcontratação. A quantidade disponível é {2}.
Row #{0}: Customer Provided Item {1} is not a part of Subcontracting Inward Order {2},Linha #{0}: O item fornecido pelo cliente {1} não faz parte do pedido de entrada de subcontratação {2}
Row #{0}: Customer Provided Item {1} is not a part of Work Order {2},Linha #{0}: O item fornecido pelo cliente {1} não faz parte da ordem de serviço {2}
Row #{0}: Dates overlapping with other row in group {1},Linha #{0}: datas sobrepostas a outra linha no grupo {1}
Row #{0}: Default BOM not found for FG Item {1},Linha #{0}: BOM padrão não encontrada para item FG {1}
Row #{0}: Duplicate entry in References {1} {2},Linha #{0}: entrada duplicada nas referências {1} {2}
Row #{0}: Expected Delivery Date cannot be before Purchase Order Date,Linha #{0}: A data de entrega prevista não pode ser anterior à data do pedido de compra
